Year,County,% Food Insecure,Population,# Uninsured,# Uninsured.1,Homicide Rate
2015,rockland,9.8,320903.0,25588.0,3780.0,0.9
2015,st. lawrence,13.6,111963.0,9089.0,1402.0,2.0
2015,saratoga,8.7,223865.0,12181.0,1625.0,0.9
2015,schenectady,11.7,155333.0,10614.0,1283.0,4.4
2015,schoharie,10.7,31844.0,2432.0,275.0,
2015,schuyler,9.6,18460.0,1458.0,167.0,
2015,seneca,10.6,35409.0,2785.0,361.0,
2015,steuben,12.4,98650.0,8262.0,1023.0,1.6
2015,suffolk,7.3,1499738.0,130503.0,16224.0,2.8
2015,sullivan,13.2,76665.0,7843.0,987.0,2.1
2015,tioga,9.3,50243.0,3432.0,478.0,
2015,tompkins,13.1,103617.0,8188.0,809.0,2.0
2015,ulster,11.4,180998.0,18050.0,1732.0,1.7
2015,warren,11.0,65337.0,5195.0,521.0,
2015,washington,10.6,63093.0,5121.0,591.0,3.2
2015,wayne,10.4,92473.0,7257.0,930.0,
2015,westchester,10.1,968802.0,89173.0,9513.0,2.8
2015,wyoming,10.8,41531.0,3102.0,367.0,
2015,yates,10.5,25156.0,2378.0,449.0,
2014,albany,11.5,305455.0,20821.0,2554.0,2.6817282562
2014,allegany,10.7,48357.0,3599.0,531.0,
2014,broome,11.7,198060.0,16960.0,1910.0,2.9876290816
2014,cattaraugus,11.0,79458.0,7752.0,1026.0,2.1094450402
2014,cayuga,9.7,79552.0,6723.0,741.0,
2014,chautauqua,11.0,133539.0,9810.0,1374.0,2.2110732655
2014,chemung,11.5,88911.0,6108.0,711.0,1.7679629049
2014,chenango,9.6,49933.0,4551.0,591.0,
2014,clinton,11.7,81654.0,6305.0,712.0,
2014,columbia,8.7,62499.0,5329.0,662.0,2.7051885516
2014,cortland,11.1,49474.0,3635.0,427.0,
2014,delaware,10.0,47276.0,4177.0,518.0,
2014,dutchess,9.3,297322.0,22618.0,3056.0,2.9982194445
